date,fishing
2015-04-13,0
2015-04-14,0
2015-04-15,0
2015-04-16,0
2015-04-21,0
2015-04-22,5
2015-04-23,23
2015-04-24,24
2015-04-25,21
2015-04-26,23
2015-04-27,24
2015-04-28,20
2015-04-29,0
2015-04-30,0
2015-05-11,0
2015-05-12,0
2015-05-13,0
2015-05-14,0
2015-05-15,0
2015-05-16,9
2015-05-17,23
2015-05-18,23
2015-05-19,23
2015-05-20,23
2015-05-21,23
2015-05-22,18
2015-05-23,17
2015-05-24,22
2015-05-25,23
2015-05-26,9
2015-05-27,0
2015-05-28,0
2015-05-29,0
2015-06-17,0
2015-06-18,0
2015-06-19,0
2015-06-20,0
2015-06-22,0
2015-06-23,0
2015-06-24,5
2015-06-25,23
2015-06-26,10
2015-06-27,20
2015-06-28,13
2015-06-29,21
2015-06-30,24
2015-07-01,24
2015-07-02,25
2015-07-03,15
2015-07-04,7
2015-07-05,9
2015-07-06,0
2015-07-18,0
2015-07-19,10
2015-07-20,21
2015-07-21,25
2015-07-22,23
2015-07-23,23
2015-07-24,11
2015-07-25,23
2015-07-26,24
2015-07-27,24
2015-07-28,23
2015-07-29,25
2015-07-30,23
2015-07-31,23
2015-08-01,6
2015-08-02,0
2015-08-03,0
2015-08-06,0
2015-08-07,0
2015-08-08,22
2015-08-09,26
2015-08-10,22
2015-08-11,20
2015-08-12,22
2015-08-13,24
2015-08-14,5
2015-08-15,5
2015-08-16,0
2015-08-17,0
2015-08-18,0
2015-08-19,0
2015-08-20,0
2015-08-21,0
2015-08-22,0
2015-08-23,16
2015-08-24,23
2015-08-25,23
2015-08-26,25
2015-08-27,23
2015-08-28,24
2015-08-29,22
2015-08-30,18
2015-08-31,5
2015-09-01,8
2015-09-02,0
2015-09-03,0
2015-09-04,0
2015-09-05,0
2015-09-07,0
2015-09-08,0
2015-09-09,0
2015-09-10,4
2015-09-11,24
2015-09-12,22
2015-09-13,23
2015-09-14,24
2015-09-15,20
2015-09-16,27
2015-09-17,24
2015-09-18,23
2015-09-19,23
2015-09-20,22
2015-09-21,12
2015-09-22,0
2015-09-23,7
2015-09-24,0
2015-09-25,0
2015-09-26,0
2015-09-27,0
2015-09-28,0
2015-09-29,0
2015-09-30,0
2015-10-01,0
2015-10-02,0
2015-10-03,9
2015-10-04,23
2015-10-05,24
2015-10-06,18
2015-10-07,22
2015-10-08,24
2015-10-09,23
2015-10-10,24
2015-10-11,23
2015-10-12,17
2015-10-13,24
2015-10-14,22
2015-10-15,8
2015-10-16,0
2015-10-17,0
2015-10-22,0
2015-10-23,8
2015-10-24,23
2015-10-25,24
2015-10-26,23
2015-10-27,23
2015-10-28,22
2015-10-29,25
2015-10-30,23
2015-10-31,24
2015-11-01,23
2015-11-02,19
2015-11-03,2
2015-11-04,0
2015-11-05,0
2015-11-10,0
2015-11-11,0
2015-11-12,20
2015-11-13,27
2015-11-14,23
2015-11-15,24
2015-11-16,23
2015-11-17,23
2015-11-18,23
2015-11-19,17
2015-11-20,20
2015-11-21,23
2015-11-22,7
2015-11-23,20
2015-11-24,24
2015-11-25,5
2015-11-26,0
2015-11-27,0
2015-11-28,0
2015-11-29,0
2015-11-30,0
2015-12-01,0
2015-12-02,0
2015-12-03,7
2015-12-04,17
2015-12-05,0
2015-12-06,12
2015-12-07,23
2015-12-08,24
2015-12-09,21
2015-12-10,26
2015-12-11,23
2015-12-12,17
2015-12-13,10
2015-12-14,24
2015-12-15,20
2015-12-16,24
2015-12-17,10
2015-12-18,0
2015-12-19,0
2015-12-20,0
2015-12-21,0
2016-01-03,0
2016-01-04,0
2016-01-05,8
2016-01-06,22
2016-01-07,25
2016-01-08,23
2016-01-09,23
2016-01-10,24
2016-01-11,23
2016-01-12,22
2016-01-13,25
2016-01-14,18
2016-01-15,15
2016-01-16,8
2016-01-17,0
2016-01-18,0
2016-01-19,0
2016-01-20,0
2016-01-21,0
2016-01-22,0
2016-01-23,0
2016-01-24,7
2016-01-25,7
2016-01-26,6
2016-01-27,22
2016-01-28,24
2016-01-29,24
2016-01-30,23
2016-01-31,23
2016-02-01,24
2016-02-02,13
2016-02-03,7
2016-02-04,11
2016-02-05,22
2016-02-06,7
2016-02-07,0
2016-02-08,0
2016-02-12,0
2016-02-13,0
2016-02-14,0
2016-02-15,18
2016-02-16,23
2016-02-17,22
2016-02-18,24
2016-02-19,24
2016-02-20,23
2016-02-21,23
2016-02-22,23
2016-02-23,24
2016-02-24,24
2016-02-25,23
2016-02-26,13
2016-02-27,11
2016-02-28,8
2016-02-29,7
2016-03-01,0
2016-03-02,0
2016-03-03,0
2016-03-06,0
2016-03-07,0
2016-03-14,7
2016-03-15,23
2016-03-16,21
2016-03-17,25
2016-03-18,24
2016-03-19,6
2016-03-20,0
2016-03-21,0
2016-03-22,0
2016-03-23,0
2016-03-27,0
2016-03-28,0
2016-03-29,0
2016-03-30,0
2016-03-31,9
2016-04-01,23
2016-04-02,26
2016-04-03,13
2016-04-04,26
2016-04-05,23
2016-04-06,27
2016-04-07,15
2016-04-08,12
2016-04-09,0
2016-04-10,0
2016-04-11,0
2016-04-12,0
2016-04-16,0
2016-04-17,0
2016-04-18,0
2016-04-19,0
2016-04-20,0
2016-04-21,4
2016-04-22,23
2016-04-23,25
2016-04-24,6
2016-04-25,3
2016-04-26,11
2016-04-27,24
2016-04-28,24
2016-04-29,24
2016-04-30,19
2016-05-01,23
2016-05-02,16
2016-05-03,11
2016-05-04,0
2016-05-05,0
2016-05-06,0
2016-05-12,0
2016-05-13,0
2016-05-14,0
2016-05-15,0
2016-05-16,8
2016-05-17,12
2016-05-18,0
2016-05-19,12
2016-05-20,6
2016-05-21,22
2016-05-22,15
2016-05-23,13
2016-05-24,16
2016-05-25,22
2016-05-26,24
2016-05-27,23
2016-05-28,23
2016-05-29,23
2016-05-30,4
2016-05-31,0
2016-06-01,0
2016-06-03,0
2016-06-04,0
2016-06-05,0
2016-06-06,0
2016-06-07,0
2016-06-08,0
2016-06-09,0
2016-06-10,0
2016-06-11,6
2016-06-12,24
2016-06-13,18
2016-06-14,24
2016-06-15,19
2016-06-16,9
2016-06-17,23
2016-06-18,24
2016-06-19,20
2016-06-20,14
2016-06-21,12
2016-06-22,0
2016-06-23,4
2016-06-24,2
2016-06-28,0
2016-06-29,0
2016-06-30,14
2016-07-01,18
2016-07-02,24
2016-07-03,24
2016-07-04,23
2016-07-05,20
2016-07-06,8
2016-07-07,0
2016-07-08,0
2016-07-09,14
2016-07-10,11
2016-07-11,8
2016-07-12,23
2016-07-13,18
2016-07-14,23
2016-07-15,23
2016-07-16,17
2016-07-17,22
2016-07-18,23
2016-07-19,21
2016-07-20,13
2016-07-21,0
2016-07-26,0
2016-07-27,0
2016-07-28,0
2016-07-29,5
2016-07-30,21
2016-07-31,21
2016-08-01,23
2016-08-02,24
2016-08-03,23
2016-08-04,23
2016-08-05,20
2016-08-06,22
2016-08-07,19
2016-08-08,14
2016-08-09,0
2016-08-10,0
2016-08-14,0
2016-08-15,0
2016-08-16,6
2016-08-17,21
2016-08-18,15
2016-08-19,15
2016-08-20,23
2016-08-21,22
2016-08-22,24
2016-08-23,24
2016-08-24,24
2016-08-25,23
2016-08-26,24
2016-08-27,23
2016-08-28,9
2016-08-29,0
2016-08-30,0
2016-08-31,0
2016-09-01,0
2016-09-02,0
2016-09-03,0
2016-09-05,0
2016-09-06,0
2016-09-07,0
2016-09-08,2
2016-09-09,17
2016-09-10,24
2016-09-11,23
2016-09-12,23
2016-09-13,20
2016-09-14,24
2016-09-15,22
2016-09-16,23
2016-09-17,17
2016-09-18,11
2016-09-19,22
2016-09-20,23
2016-09-21,21
2016-09-22,15
2016-09-23,0
2016-09-24,0
2016-09-25,0
2016-09-30,0
2016-10-01,1
2016-10-02,0
2016-10-03,5
2016-10-04,11
2016-10-05,0
2016-10-06,12
2016-10-07,23
2016-10-08,20
2016-10-09,23
2016-10-10,22
2016-10-11,24
2016-10-12,23
2016-10-13,19
2016-10-14,23
2016-10-15,18
2016-10-16,13
2016-10-17,0
2016-10-18,3
2016-10-19,0
2016-10-20,0
2016-10-21,0
2016-10-26,0
2016-10-27,0
2016-10-28,7
2016-10-29,23
2016-10-30,23
2016-10-31,23
2016-11-01,23
2016-11-02,23
2016-11-03,23
2016-11-04,22
2016-11-05,23
2016-11-06,24
2016-11-07,19
2016-11-08,17
2016-11-09,0
2016-11-10,0
2016-11-21,0
2016-11-22,0
2016-11-23,0
2016-11-24,12
2016-11-25,20
2016-11-26,19
2016-11-27,24
2016-11-28,21
2016-11-29,20
2016-11-30,13
2016-12-01,8
2016-12-02,22
2016-12-03,18
2016-12-04,16
2016-12-05,23
2016-12-06,24
2016-12-07,14
2016-12-08,4
2016-12-09,18
2016-12-10,13
2016-12-11,0
2016-12-12,0
2016-12-13,0
2016-12-14,0
2016-12-15,0
2016-12-16,4
2016-12-17,24
2016-12-18,23
2016-12-19,23
2016-12-20,24
2016-12-21,21
2016-12-22,22
2016-12-23,21
2016-12-24,23
2016-12-25,16
2016-12-26,23
2016-12-27,9
2016-12-28,0
2016-12-29,0
2016-12-30,0
2016-12-31,0
